1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,300,375,450,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,375,450,525
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,300,375,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,375,450
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,375
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,450,525,600,75,150,225,300,375,450,525,600,675,150,225,300,375,450,525,600,675,750,225,300,375,450,525,600,675,750,825,300,375,450,525,600,675,750,825,900
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,450,525,1.79769e+308,75,150,225,300,375,450,525,600,1.79769e+308,150,225,300,375,450,525,600,675,1.79769e+308,225,300,375,450,525,600,675,750,1.79769e+308,300,375,450,525,600,675,750,825
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,450,1.79769e+308,1.79769e+308,75,150,225,300,375,450,525,1.79769e+308,1.79769e+308,150,225,300,375,450,525,600,1.79769e+308,1.79769e+308,225,300,375,450,525,600,675,1.79769e+308,1.79769e+308,300,375,450,525,600,675,750
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,300,375,450,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,375,450,525,1.79769e+308,1.79769e+308,1.79769e+308,225,300,375,450,525,600,1.79769e+308,1.79769e+308,1.79769e+308,300,375,450,525,600,675
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,375,450,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300,375,450,525,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,300,375,450,525,600
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300,375,450,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,300,375,450,525
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,300,375,450
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,300,375
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,300
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,450,525,600,75,150,225,300,375,450,525,600,675,150,225,300,375,450,525,600,675,750,225,300,375,450,525,600,675,750,825
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,450,525,1.79769e+308,75,150,225,300,375,450,525,600,1.79769e+308,150,225,300,375,450,525,600,675,1.79769e+308,225,300,375,450,525,600,675,750
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,450,1.79769e+308,1.79769e+308,75,150,225,300,375,450,525,1.79769e+308,1.79769e+308,150,225,300,375,450,525,600,1.79769e+308,1.79769e+308,225,300,375,450,525,600,675
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,300,375,450,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,375,450,525,1.79769e+308,1.79769e+308,1.79769e+308,225,300,375,450,525,600
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,375,450,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300,375,450,525
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300,375,450
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300,375
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225,300
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,225
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,450,525,600,75,150,225,300,375,450,525,600,675,150,225,300,375,450,525,600,675,750
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,450,525,1.79769e+308,75,150,225,300,375,450,525,600,1.79769e+308,150,225,300,375,450,525,600,675
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,450,1.79769e+308,1.79769e+308,75,150,225,300,375,450,525,1.79769e+308,1.79769e+308,150,225,300,375,450,525,600
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,300,375,450,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,375,450,525
1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,0,75,150,225,300,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,75,150,225,300,375,1.79769e+308,1.79769e+308,1.79769e+308,1.79769e+308,150,225,300,375,450
